Model,Dataset,4929,7366,4586,7762,7474
isonet,ptc_fr,0.8907404890167365,0.8929469962942723,0.8607450500048421,0.8733726409411596,0.9007221198003618
isonet,ptc_fm,0.9141592670517891,0.9191052213024239,0.9076014327286864,0.9112116594600832,0.9137163213624233
isonet,ptc_mr,0.8985597453480466,0.8972400671161822,,0.8868584307909794,
isonet,ptc_mm,0.9056271032304877,0.9165709652275079,0.9170298243893228,,
isonet,aids,,0.9090409663160844,0.9003787216390493,0.8978332083747729,0.9092899216622972
isonet,mutag,0.9014052699057044,0.96097605084257,0.9178867533582169,,
node_align_node_loss,ptc_fr,0.8510492664725835,0.8348743804620119,,,
node_align_node_loss,ptc_fm,,0.8578200844690965,0.8886762492215072,,0.8268556812887717
node_align_node_loss,ptc_mr,,0.8513171029657326,0.8737093452520891,0.854277194186307,0.8283131097924596
node_align_node_loss,ptc_mm,0.8716800477070792,0.878254402478704,0.8910210097611057,0.8975692744679283,0.8697490653771435
node_align_node_loss,aids,0.8848556610294223,,0.870327321340139,0.8868593985981156,
node_align_node_loss,mutag,0.8783204100339203,0.8781909445371925,0.8860916381475771,,0.8785823929602398
